Date,Admin2,Series_Complete_Pop_Pct
10/3/2021,Alachua  ,58.5
10/3/2021,Baker  ,29.9
10/3/2021,Bay  ,43
10/3/2021,Bradford  ,36.8
10/3/2021,Brevard  ,55.9
10/3/2021,Broward  ,61
10/3/2021,Calhoun  ,30.6
10/3/2021,Charlotte  ,58.1
10/3/2021,Citrus  ,50.7
10/3/2021,Clay  ,42.2
10/3/2021,Collier  ,62.2
10/3/2021,Columbia  ,36.7
10/3/2021,DeSoto  ,38.7
10/3/2021,Dixie  ,29.9
10/3/2021,Duval  ,52.1
10/3/2021,Escambia  ,45.9
10/3/2021,Flagler  ,56.2
10/3/2021,Franklin  ,42.5
10/3/2021,Gadsden  ,50.9
10/3/2021,Gilchrist  ,31.8
10/3/2021,Glades  ,29.1
10/3/2021,Gulf  ,44.5
10/3/2021,Hamilton  ,31.6
10/3/2021,Hardee  ,35.6
10/3/2021,Hendry  ,40.4
10/3/2021,Hernando  ,47.6
10/3/2021,Highlands  ,44.6
10/3/2021,Hillsborough  ,51.8
10/3/2021,Holmes  ,25.4
10/3/2021,Indian River  ,59
10/3/2021,Jackson  ,36.2
10/3/2021,Jefferson  ,53.1
10/3/2021,Lafayette  ,34.6
10/3/2021,Lake  ,58.2
10/3/2021,Lee  ,54.4
10/3/2021,Leon  ,49.8
10/3/2021,Levy  ,40.7
10/3/2021,Liberty  ,31.1
10/3/2021,Madison  ,37.4
10/3/2021,Manatee  ,53.5
10/3/2021,Marion  ,50.1
10/3/2021,Martin  ,56.5
10/3/2021,Miami-Dade  ,72.5
10/3/2021,Monroe  ,67.5
10/3/2021,Nassau  ,51
10/3/2021,Okaloosa  ,48.4
10/3/2021,Okeechobee  ,40.4
10/3/2021,Orange  ,59
10/3/2021,Osceola  ,60.8
10/3/2021,Palm Beach  ,58.1
10/3/2021,Pasco  ,50.6
10/3/2021,Pinellas  ,57.3
10/3/2021,Polk  ,48.2
10/3/2021,Putnam  ,34.8
10/3/2021,Santa Rosa  ,42.8
10/3/2021,Sarasota  ,62.5
10/3/2021,Seminole  ,54
10/3/2021,St. Johns  ,61.6
10/3/2021,St. Lucie  ,50.1
10/3/2021,Sumter  ,73.8
10/3/2021,Suwannee  ,33
10/3/2021,Taylor  ,34.2
10/3/2021,Union  ,31.6
10/3/2021,Volusia  ,52.7
10/3/2021,Wakulla  ,39.2
10/3/2021,Walton  ,40.7
10/3/2021,Washington  ,27.7
