County,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Florida,29.9,29.2,28.5,27.9,27.3,26.8,26.4,26.2,26,25.9
Alachua,43.3,42.5,41.4,41.5,41.6,40.8,40.5,41.2,41.1,40.9
Baker,13.2,13.4,13.1,12.8,11.5,10.9,10.0,8.4,7.4,6.2
Bay,23.7,22.8,22.4,22.5,22.2,21.6,21.1,21.3,21,20.4
Bradford,9.9,10.6,10.4,11.8,10.9,10.4,9.2,8.6,8.8,8.6
Brevard,30.2,29.3,28.4,27.7,27.3,26.7,26.3,26.2,26.4,26.2
Broward,32.4,31.9,31.5,31.0,30.8,30.2,29.9,29.9,29.9,29.6
Calhoun,9.5,9.9,9.6,10.5,10.5,9.2,7.8,8.5,7.9,11.6
Charlotte,23.4,23.2,22.4,21.6,20.8,20.9,21.2,21.1,20.9,21.3
Citrus,18.3,17.6,17.8,17.8,16.9,16.8,16.6,16.4,16.5,16.5
Clay,24.9,24.1,23.7,23.9,23.8,23.6,24.0,23.5,23.2,23.8
Collier,36.4,36.2,34.9,33.9,33.2,32.3,31.7,31.4,31.6,30.8
Columbia,14.9,15.6,16.4,15.9,15.1,14.1,13.3,13.2,13.1,14.9
Miami-Dade,29.8,28.8,27.8,27.3,26.9,26.4,26.3,26.3,26.2,26.2
DeSoto,11.5,11.4,11.5,10.0,9.7,9.9,10.6,10.8,11.4,11.6
Dixie,10.4,9.4,9.1,6.4,7.9,7.5,8.4,8.1,8.9,6.2
Duval,30.0,29.2,28.7,28.1,27.3,26.5,26.4,25.6,25.2,24.9
Escambia,26.5,26.4,26.0,24.9,24.5,23.9,23.7,23.2,23.3,23.4
Flagler,25.1,24.4,23.6,23.3,23.0,23.4,23.3,23.5,22,22.0
Franklin,18.8,17.1,18.4,16.7,15.5,16.0,14.4,15.2,17.6,18.8
Gadsden,16.2,16.7,16.3,17.5,17.0,16.3,14.9,14.0,13.2,12.3
Gilchrist,13.4,14.2,12.4,12.3,11.4,11.0,11.1,11.8,11.4,8.6
Glades,11.2,9.9,10.9,8.9,8.4,10.3,12.2,10.2,10.3,11.3
