Admin2,Percent (%)
Alachua,57.3
Baker,70.7
Bay,66.3
Bradford,70.7
Brevard,67.4
Broward,65
Calhoun,70.2
Charlotte,66.9
Citrus,67.5
Clay,68.9
Collier,63.9
Columbia,73.4
Miami-Dade,61.9
DeSoto,71.3
Dixie,69.9
Duval,68.5
Escambia,67.9
Flagler,64.4
Franklin,69.2
Gadsden,72.7
Gilchrist,77.7
Glades,78.5
Gulf,68.1
Hamilton,73.6
Hardee,71.7
Hendry,73.1
Hernando,68.3
Highlands,65.7
Hillsborough,68.8
Holmes,76.2
Indian River,59.7
Jackson,74.1
Jefferson,65
Lafayette,77.8
Lake,64.4
Lee,62
Leon,58.3
Levy,73.6
Liberty,71
Madison,74.9
Manatee,61.7
Marion,66.8
Martin,54.6
Monroe,64.4
Nassau,68.6
Okaloosa,67.1
Okeechobee,74
Orange,65.9
Osceola,75.3
Palm Beach,59.5
Pasco,59.8
Pinellas,63.8
Polk,71.4
Putnam,69.7
St. Johns,58.3
St. Lucie,70.1
Santa Rosa,68.4
Sarasota,61.9
Seminole,60.3
Sumter,71.4
Suwannee,75.3
Taylor,68.1
Union,74.8
Volusia,66.3
Wakulla,74.5
Walton,72.2
Washington,69.2
